ParticipantID,Mode,First,illum_order,Illuminant,Lightness,Rep,RGB_1,RGB_2,RGB_3,Lab Grid_1,Lab Grid_2,Lab Grid_3,Idx_1,Idx_2,XYZ_1,XYZ_2,XYZ_3,xyY_1,xyY_2,xyY_3,uvY_1,uvY_2,uvY_3,WhiteXYZ_1_1,WhiteXYZ_1_2,WhiteXYZ_1_3,CI_1,delta_uv_1,recenter_uv_1,recenter_uv_2,CI_1_recenter,delta_uv_1_recenter,WhiteXYZ_2_1,WhiteXYZ_2_2,WhiteXYZ_2_3,CI_2,delta_uv_2,recenter_uv_2_1,recenter_uv_2_2,CI_2_recenter,delta_uv_2_recenter
1,Flat,0,y g r b,w,L40,1,0.108541391789913,0.10457793623209,0.0968204140663147,40,0,2,5,6,7.73544979095459,8.07450580596924,8.44513702392578,0.318920645320695,0.332899401053139,8.07450580596924,0.200675209944369,0.471309966595024,8.07450580596924,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L40,2,0.113527476787567,0.102221980690956,0.10512613505125,40,2,0,6,7,7.92932844161987,8.07450580596924,8.99245929718018,0.317220168158857,0.323028123809936,8.07450580596924,0.203284456995113,0.46576434130578,8.07450580596924,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L40,3,0.0913164094090462,0.109930127859116,0.0965063199400902,40,-4,2,5,4,7.35722494125366,8.07450580596924,8.44513702392578,0.308131912936406,0.338172740384565,8.07450580596924,0.191332534154051,0.472468934690136,8.07450580596924,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L55,1,0.254422247409821,0.216573625802994,0.226374998688698,55,4,0,7,9,16.3913764953613,16.4561004638672,18.3269176483154,0.320304258038941,0.321569030568293,16.4561004638672,0.206042414534918,0.465426013325898,16.4561004638672,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L55,2,0.252142786979675,0.219880968332291,0.20007535815239,55,2,4,5,8,16.0762023925781,16.4561004638672,16.5884284973145,0.327279377760071,0.335013343863978,16.4561004638672,0.205654962473086,0.473658326860378,16.4561004638672,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L55,3,0.218062326312065,0.223193988204002,0.268509805202484,55,2,-6,10,8,16.0762023925781,16.4561004638672,21.1559906005859,0.299435898543591,0.306511893082197,16.4561004638672,0.197020927337488,0.453772676705371,16.4561004638672,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L55,4,0.232358694076538,0.221804201602936,0.239785462617874,55,2,-2,8,8,16.0762023925781,16.4561004638672,19.2399501800537,0.310517728120593,0.317855598292502,16.4561004638672,0.200552953285396,0.461907532683537,16.4561004638672,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L55,5,0.209257900714874,0.230102211236954,0.2255949229002,55,-2,0,7,6,15.4580240249634,16.4561004638672,18.3269195556641,0.307677205339789,0.327542963663201,16.4561004638672,0.194881617663893,0.466795161899909,16.4561004638672,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L55,6,0.23917119204998,0.221141949295998,0.226111561059952,55,2,0,7,8,16.0762023925781,16.4561004638672,18.3269157409668,0.316092201884441,0.32356180290793,16.4561004638672,0.202280974445208,0.465887459068454,16.4561004638672,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L70,1,0.431199610233307,0.399694174528122,0.387603551149368,70,2,2,7,9,28.4726181030273,29.244701385498,31.269172668457,0.319965619644815,0.328642029555531,29.244701385498,0.203031177543066,0.469207601838476,29.244701385498,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L70,2,0.346177995204926,0.415649652481079,0.487076252698898,70,-2,-8,12,7,27.56565284729,29.2447032928467,38.1306419372559,0.290345092273198,0.308030291286883,29.2447032928467,0.189902290402526,0.453306198786425,29.2447032928467,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
1,Flat,0,y g r b,w,L70,3,0.365906059741974,0.409898012876511,0.487463682889938,70,0,-8,12,8,28.0166912078857,29.2447052001953,38.1306381225586,0.293700531136977,0.306573870072999,29.2447052001953,0.192859713441112,0.452954355000062,29.2447052001953,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,0
