"Mode","Lightness","emmean","SE","df","lower.CL","upper.CL"
"VR","L40",0.584856125934138,0.0102446064096031,34,0.564036580808101,0.605675671060175
"Flat","L40",0.537613270440627,0.00955071873919404,34,0.518203874722862,0.557022666158392
"VR","L55",0.57374872785239,0.0127046914734232,34,0.54792968836295,0.59956776734183
"Flat","L55",0.534156370792715,0.010908357170611,34,0.511987921827064,0.556324819758366
"VR","L70",0.549166620167948,0.011030019601897,34,0.526750923394326,0.57158231694157
"Flat","L70",0.507806571564149,0.0115245701612897,34,0.484385827131621,0.531227315996677
