"Mode","emmean","SE","df","lower.CL","upper.CL"
"VR",0.569330747606482,0.0102257209909727,35,0.548571430350632,0.590090064862331
"Flat",0.524966697210648,0.0101392935181911,35,0.504382837052511,0.545550557368785
