"Mode","Illuminant","emmean","SE","df","lower.CL","upper.CL"
"VR","r",0.495523000756899,0.0153672048121934,34,0.464293083153759,0.52675291836004
"Flat","r",0.474699157949478,0.0140863420024941,34,0.446072266758538,0.503326049140418
"VR","g",0.6412733168356,0.0173471980804046,34,0.606019568784651,0.676527064886549
"Flat","g",0.598133008631449,0.0198160249512544,34,0.557862000727759,0.638404016535138
"VR","b",0.543427884022868,0.0264016863591451,34,0.489773201882767,0.597082566162969
"Flat","b",0.521176341010465,0.0220634224655738,34,0.476338071848045,0.566014610172884
"VR","y",0.596804430323934,0.0167450966765485,34,0.562774299545024,0.630834561102844
"Flat","y",0.51209310947193,0.0235106612132398,34,0.464313697310895,0.559872521632966
