"Illuminant","emmean","SE","df","lower.CL","upper.CL"
"r",0.4809190376495,0.0126376404402895,35,0.455263263597291,0.506574811701709
"g",0.621980999079015,0.014378860156812,35,0.592790361075468,0.651171637082563
"b",0.5198330158385,0.0219700560369022,35,0.475231430893881,0.564434600783119
"y",0.554673365391302,0.0137250206205556,35,0.526810092214113,0.582536638568492
