"Lightness","emmean","SE","df","lower.CL","upper.CL"
"L40",0.561234698187382,0.00841961784445952,34,0.544123976052426,0.578345420322339
"L55",0.553952549322553,0.00984773351903485,34,0.53393954694927,0.573965551695835
"L70",0.528486595866049,0.0102640932023717,34,0.507627448812403,0.549345742919694
