ParticipantID,Mode,First,illum_order,Illuminant,Lightness,Rep,RGB_1,RGB_2,RGB_3,Lab Grid_1,Lab Grid_2,Lab Grid_3,Idx_1,Idx_2,XYZ_1,XYZ_2,XYZ_3,xyY_1,xyY_2,xyY_3,uvY_1,uvY_2,uvY_3,WhiteXYZ_1_1,WhiteXYZ_1_2,WhiteXYZ_1_3,CI_1,delta_uv_1,recenter_uv_1_1,recenter_uv_1_2,CI_1_recenter,delta_uv_1_recenter,WhiteXYZ_2_1,WhiteXYZ_2_2,WhiteXYZ_2_3,CI_2,delta_uv_2,recenter_uv_2_1,recenter_uv_2_2,CI_2_recenter,delta_uv_2_recenter
20,Flat,1,b r g y,g,L55,3,0.261089206,0.213160008,0.284117192,55,8,-8,6,6,12.93687057,15.29816246,16.26631165,0.290707408,0.343768544,15.29816246,0.177699236,0.472800704,15.29816246,15.66542117,16.45610046,18.35643005,0.549563289,-0.008398462,0.178184673,0.474726051,0.576759994,-0.006645831,17.24085887,17.92510255,19.98713228,0.595898211,-0.009560756,0.176137343,0.474956751,0.671819508,-0.009012038
20,Flat,1,b r g y,g,L70,1,0.548544347,0.374694794,0.565343559,70,16,-14,9,10,24.15376663,27.18688965,31.33864594,0.292138008,0.328823405,27.18688965,0.183688245,0.465198753,27.18688965,28.32064374,29.24470139,32.60479101,0.34874317,-0.011933597,0.180820912,0.467606425,0.457778305,-0.012075057,17.24085887,17.92510255,19.98713228,0.317801654,-0.011171832,0.182155296,0.467448205,0.394925863,-0.01053446
20,Flat,1,b r g y,g,L70,2,0.575489759,0.376602352,0.469168365,70,14,-6,5,9,23.78092575,27.18688965,26.9285183,0.30528941,0.349013726,27.18688965,0.185654381,0.477549603,27.18688965,28.32064374,29.24470139,32.60479101,0.547993004,-0.001461572,0.182784498,0.479770422,0.653426528,-0.001743189,17.24085887,17.92510255,19.98713228,0.517051578,-0.000699807,0.184147462,0.4796049,0.589814067,-0.000188835
20,Flat,1,b r g y,g,L70,3,0.447031349,0.39141959,0.513707578,70,8,-10,7,6,22.68545723,27.18689156,29.07786751,0.28733876,0.344354871,27.18689156,0.175271194,0.472612366,27.18689156,28.32064374,29.24470139,32.60479101,0.675584912,-0.012092562,0.172325701,0.474946499,0.784868598,-0.01234102,17.24085887,17.92510255,19.98713228,0.644643307,-0.01133083,0.173693687,0.474779576,0.721120298,-0.0107843
20,Flat,1,b r g y,b,L40,1,0.078412294,0.102343425,0.081015401,40,-6,6,5,2,4.153423309,4.623135567,7.206332207,0.259866834,0.289255276,4.623135567,0.174661361,0.437431236,4.623135567,7.736511707,8.074505806,9.000175794,0.637569845,-0.011999459,0.173731014,0.439962566,0.601070404,-0.013773669,17.24085887,17.92510255,19.98713228,0.640183389,-0.012708101,0.173026696,0.440086216,0.606136024,-0.01518426
20,Flat,1,b r g y,b,L40,2,0.10693448,0.095544361,0.088449284,40,0,4,4,5,4.479210377,4.623136044,7.694451332,0.266670495,0.275239133,4.623136044,0.184881999,0.429350882,4.623136044,7.736511707,8.074505806,9.000175794,0.707475901,0.000435189,0.18400079,0.431950688,0.669511557,-0.00131762,17.24085887,17.92510255,19.98713228,0.710089445,-0.000273453,0.183317855,0.432070047,0.674511671,-0.002706701
20,Flat,1,b r g y,b,L40,3,0.102932833,0.097488888,0.081193894,40,-2,6,5,4,4.368789673,4.623136044,7.206332684,0.26970737,0.285409451,4.623136044,0.183302986,0.436443062,4.623136044,7.736511707,8.074505806,9.000175794,0.598608315,-0.003576074,0.182428345,0.438961416,0.561968505,-0.005293612,17.24085887,17.92510255,19.98713228,0.601221859,-0.004284716,0.181734294,0.439081967,0.567020178,-0.006693514
20,Flat,1,b r g y,b,L55,1,0.231607065,0.207274288,0.238744617,55,4,-2,1,8,9.491422653,9.42209816,18.69087982,0.252401913,0.250558392,9.42209816,0.18350174,0.409863285,9.42209816,15.66542117,16.45610046,18.35643005,1.03686583,0.007310787,0.183689699,0.412636697,0.989115953,0.006494332,17.24085887,17.92510255,19.98713228,1.045990586,0.005407892,0.181903914,0.412800461,1.006970763,0.002865198
20,Flat,1,b r g y,b,L55,2,0.256710947,0.208600387,0.200454965,55,2,4,4,7,9.30892086,9.422099113,16.11502647,0.267144248,0.270392199,9.422099113,0.187127634,0.426156165,9.422099113,15.66542117,16.45610046,18.35643005,0.740142703,0.004869214,0.187418967,0.428729922,0.69507885,0.004220702,17.24085887,17.92510255,19.98713228,0.749267399,0.002966305,0.185578197,0.428905219,0.713093519,0.000536099
20,Flat,1,b r g y,b,L55,3,0.250123888,0.211983517,0.1887566,55,0,6,5,6,9.128772736,9.42209816,15.31219578,0.269579032,0.278241137,9.42209816,0.18592505,0.431773173,9.42209816,15.66542117,16.45610046,18.35643005,0.653611064,0.001737105,0.186237454,0.434278548,0.609559298,0.001132728,17.24085887,17.92510255,19.98713228,0.662735701,-0.000165804,0.184371665,0.434460223,0.62762773,-0.00257752
20,Flat,1,b r g y,b,L70,1,0.423067242,0.394985974,0.352562785,70,-2,6,5,6,15.96188545,16.74433708,27.95231438,0.263143265,0.276042548,16.74433708,0.18191018,0.429361689,16.74433708,28.32064374,29.24470139,32.60479101,0.734861434,-0.004318038,0.179077432,0.432228178,0.704965413,-0.007988662,17.24085887,17.92510255,19.98713228,0.729009628,-0.003052539,0.180321977,0.432090372,0.693426788,-0.005511662
20,Flat,1,b r g y,b,L70,2,0.473644316,0.395772189,0.291597903,70,-4,14,9,5,15.70353127,16.74433327,23.4973011,0.280695054,0.29929902,16.74433327,0.186192922,0.446700278,16.74433327,28.32064374,29.24470139,32.60479101,0.416367829,-0.006520254,0.18337512,0.449344248,0.390109867,-0.010097326,17.24085887,17.92510255,19.98713228,0.410516024,-0.005254754,0.184657156,0.449198842,0.378457814,-0.0075826
20,Flat,1,b r g y,b,L70,3,0.44338116,0.401206344,0.29139775,70,-6,14,9,4,15.44797802,16.74433517,23.4973011,0.277394236,0.300672493,16.74433517,0.183301727,0.447038926,16.74433517,28.32064374,29.24470139,32.60479101,0.429268181,-0.009341297,0.180457085,0.449689776,0.403067201,-0.012945905,17.24085887,17.92510255,19.98713228,0.423416346,-0.008075798,0.181745216,0.449542612,0.391405553,-0.01042486
20,Flat,1,b r g y,y,L40,1,0.08489538,0.104342505,0.172632292,40,-2,-16,10,4,5.664730072,5.798841953,5.326683044,0.337382014,0.345369497,5.798841953,0.20859303,0.480445758,5.798841953,7.736511707,8.074505806,9.000175794,0.352547497,9.45E-05,0.20794937,0.482259512,0.375219703,-0.001472809,17.24085887,17.92510255,19.98713228,0.346195817,-0.000557705,0.207222939,0.482376307,0.362354904,-0.002787174
20,Flat,1,b r g y,y,L40,2,0.080414273,0.106891714,0.159244522,40,-4,-14,9,3,5.523927212,5.798841953,5.047739506,0.337431617,0.35422491,5.798841953,0.205255504,0.48480898,5.798841953,7.736511707,8.074505806,9.000175794,0.38626352,-0.005141692,0.204603314,0.486562192,0.407829583,-0.006681315,17.24085887,17.92510255,19.98713228,0.37991184,-0.005793922,0.203867272,0.486680537,0.394878715,-0.008004435
20,Flat,1,b r g y,y,L40,3,0.078425042,0.107180424,0.172267526,40,-4,-16,10,3,5.523927212,5.798841,5.326682568,0.331778344,0.348290228,5.798841,0.203672259,0.48106931,5.798841,7.736511707,8.074505806,9.000175794,0.305641025,-0.004294468,0.203006685,0.48288849,0.328148395,-0.005882885,17.24085887,17.92510255,19.98713228,0.299289346,-0.00494671,0.202274084,0.483006805,0.315237105,-0.007203162
20,Flat,1,b r g y,y,L55,1,0.183053657,0.23003982,0.401440471,55,-2,-22,13,5,11.606143,11.818223,11.25191498,0.334699762,0.340815758,11.818223,0.208523024,0.47775011,11.818223,15.66542117,16.45610046,18.35643005,0.319914699,0.002653676,0.209136575,0.479507357,0.356280804,0.002148726,17.24085887,17.92510255,19.98713228,0.300550014,0.000930637,0.207152218,0.479723722,0.317417026,-0.001324104
20,Flat,1,b r g y,y,L55,2,0.173369035,0.231752306,0.469271243,55,-2,-28,16,5,11.60614204,11.81822205,12.71344948,0.321163371,0.327032017,11.81822205,0.20449566,0.468522959,11.81822205,15.66542117,16.45610046,18.35643005,0.119581774,0.004645031,0.205058604,0.470444769,0.158095643,0.004004272,17.24085887,17.92510255,19.98713228,0.100217111,0.002921981,0.20309861,0.470652491,0.119371682,0.00055634
