"Illuminant","emmean","SE","df","lower.CL","upper.CL"
"r",0.454795973850309,0.0171420018671565,35,0.419995859953712,0.489596087746905
"g",0.651281638162037,0.0220959503997686,35,0.606424474073241,0.696138802250834
"b",0.453992619052469,0.0338059444026308,35,0.385362903298698,0.52262233480624
"y",0.628524658569445,0.023667063089691,35,0.580477966152662,0.676571350986227
