"Mode","Lightness","emmean","SE","df","lower.CL","upper.CL"
"VR","L40",0.585010656803241,0.0102919532928455,34,0.564094891233701,0.60592642237278
"Flat","L40",0.537899994222222,0.011179275799329,34,0.515180972360887,0.560619016083557
"VR","L55",0.576132544439815,0.0123634618642156,34,0.551006966950103,0.601258121929526
"Flat","L55",0.534146770185185,0.0116009660334647,34,0.510570770660895,0.557722769709475
"VR","L70",0.548410390060185,0.010474019632599,34,0.52712462117135,0.56969615894902
"Flat","L70",0.504199686025463,0.0117204673696405,34,0.480380830566874,0.528018541484052
