"Lightness","emmean","SE","df","lower.CL","upper.CL"
"L40",0.561455325512731,0.00921967817193209,34,0.542718685170146,0.580191965855317
"L55",0.5551396573125,0.0102809202896357,34,0.534246313503155,0.576033001121845
"L70",0.526305038042824,0.0102442008906219,34,0.50548631703051,0.547123759055138
