"Mode","Illuminant","emmean","SE","df","lower.CL","upper.CL"
"VR","r",0.488381977216049,0.0211658340856917,35,0.445413049630655,0.531350904801443
"Flat","r",0.421209970484568,0.0233838784939722,35,0.373738173360712,0.468681767608424
"VR","g",0.637535231811728,0.0292555968479433,35,0.578143212705023,0.696927250918434
"Flat","g",0.665028044512346,0.0309870341464551,35,0.602121020818663,0.727935068206028
"VR","b",0.457977197145062,0.0426389712275146,35,0.371415483603646,0.544538910686477
"Flat","b",0.450008040959877,0.0425912739974341,35,0.363543157943403,0.53647292397635
"VR","y",0.693428584253087,0.0351746854371853,35,0.622020176473345,0.764836992032828
"Flat","y",0.563620732885803,0.0357943865202534,35,0.490954265024179,0.636287200747426
